DersKodu;DersAdi;DersiVeren;DersUzunluk;AKTS;OgrSayisi;AcildigiProgram;Donem
EM-310-50-50;Üretim Planlama ve Kontrol;Dr. Öðr. Üyesi Yeþim OK;3;NULL;3;Endüstri Mühendisliði Programý;6
EMS-404-50-50;Endüstri Mühendisliði Seçmeli Tasarýmý II;Dr. Öðr. Üyesi Yeþim OK;3;6;11;Endüstri Mühendisliði Programý;8
EM-408-50-50;Bitirme Projesi II;Dr. Öðr. Üyesi Yeþim OK;2;NULL;11;Endüstri Mühendisliði Programý;8
EM-406-50-50;Bilgisayar Bütünleþik Üretim;Dr. Öðr. Üyesi Ruhi YEÞÝLDAL;3;NULL;8;Endüstri Mühendisliði Programý;8
EM-402-50-50;Yönetim Bilgi Sistemleri;Dr. Öðr. Üyesi Yeþim OK;3;0;5;Endüstri Mühendisliði Programý;8
ENM-402-50-50-2017;Yönetim Bilgi Sistemleri;Dr. Öðr. Üyesi Yeþim OK;3;5;15;Endüstri Mühendisliði Programý;8
ENM-406-50-50-2017;Ýþ Deðerleme ve Performans Yönetimi;Dr. Öðr. Üyesi Betül TURANOÐLU ÞÝRÝN;3;4;16;Endüstri Mühendisliði Programý;8
ENM-408-50-50;Lojistik Bilgi Sistemleri;Dr. Öðr. Üyesi Erdem AKSAKAL;3;4;14;Endüstri Mühendisliði Programý;8
ENS-404-50-50-2017;Endüstri Mühendisliði Seçmeli Tasarýmý II;Doç.Dr. Elif KILIÇ DELÝCE;3;5;21;Endüstri Mühendisliði Programý;8
ENM-404-50-50-2017;Bitirme Projesi II;Dr. Öðr. Üyesi Yeþim OK;2;3;21;Endüstri Mühendisliði Programý;8
EM-206-50-50;Mühendislik Ýstatistiði;Prof.Dr. Cafer ÇELÝK;3;NULL;2;Endüstri Mühendisliði (Ý.Ö.) Programý;4
EM-208-50-50;Yöneylem Araþtýrmasý I;Doç.Dr. Mustafa YILMAZ;2;NULL;4;Endüstri Mühendisliði (Ý.Ö.) Programý;4
EM-210-50-ö.ö;Sistem Analizi;Prof.Dr. Vecihi YÝÐÝT;2;0;0;Endüstri Mühendisliði (Ý.Ö.) Programý;4
EM-202-50-ö.ö;Sayýsal Yöntemler;NULL;3;NULL;0;Endüstri Mühendisliði (Ý.Ö.) Programý;4
EM-214-50-50;Ýþbilimi;Doç.Dr. Elif KILIÇ DELÝCE;3;NULL;1;Endüstri Mühendisliði (Ý.Ö.) Programý;4
EM-204-50-50;Endüstri Mühendisliði Mat. Uyg.;Doç.Dr. Mustafa YILMAZ;3;NULL;2;Endüstri Mühendisliði (Ý.Ö.) Programý;4
EM-302-50-50;Yöneylem Araþtýrmasý III;Prof.Dr. Vecihi YÝÐÝT;3;NULL;4;Endüstri Mühendisliði (Ý.Ö.) Programý;6
 EM-308-50-50;Kalite Mühendisliðine Giriþ;Prof.Dr. Cafer ÇELÝK;3;NULL;3;Endüstri Mühendisliði (Ý.Ö.) Programý;6
EM-310-50-50;Üretim Planlama ve Kontrol;Dr. Öðr. Üyesi Yeþim OK;3;NULL;3;Endüstri Mühendisliði (Ý.Ö.) Programý;6
EM-304-50-50;Üretim Sistemleri;Doç.Dr. Elif KILIÇ DELÝCE;3;NULL;0;Endüstri Mühendisliði (Ý.Ö.) Programý;6
EM-306-50-50;Tesis Tasarýmý ve Planlamasý;Doç.Dr. Gökay AKKAYA;3;NULL;6;Endüstri Mühendisliði (Ý.Ö.) Programý;6
EMS-404-50-50;Endüstri Mühendisliði Seçmeli Tasarýmý II;Dr. Öðr. Üyesi Betül TURANOÐLU ÞÝRÝN;3;6;8;Endüstri Mühendisliði (Ý.Ö.) Programý;8
EM-406-50-ö.ö;Bilgisayar Bütünleþik Üretim;NULL;3;NULL;0;Endüstri Mühendisliði (Ý.Ö.) Programý;8
EM-408-50-50;Bitirme Projesi II;Prof.Dr. Cafer ÇELÝK;2;NULL;8;Endüstri Mühendisliði (Ý.Ö.) Programý;8
EM-402-50-50;Yönetim Bilgi Sistemleri;Dr. Öðr. Üyesi Yeþim OK;3;0;9;Endüstri Mühendisliði (Ý.Ö.) Programý;8
ENM-406-50-50-2017;Ýþ Deðerleme ve Performans Yönetimi;Dr. Öðr. Üyesi Betül TURANOÐLU ÞÝRÝN;3;4;17;Endüstri Mühendisliði (Ý.Ö.) Programý;8
ENM-408-50-50-2017;Lojistik Bilgi Sistemleri;Dr. Öðr. Üyesi Erdem AKSAKAL;3;4;16;Endüstri Mühendisliði (Ý.Ö.) Programý;8
ENS-404-50-50-2017;Endüstri Mühendisliði Seçmeli Tasarýmý II;Dr. Öðr. Üyesi Yeþim OK;3;5;20;Endüstri Mühendisliði (Ý.Ö.) Programý;8
ENM-404-50-50;Bitirme Projesi II;Prof.Dr. Cafer ÇELÝK;2;3;20;Endüstri Mühendisliði (Ý.Ö.) Programý;8
ENM-402-50-50;Yönetim Bilgi Sistemleri;Dr. Öðr. Üyesi Yeþim OK;3;5;14;Endüstri Mühendisliði (Ý.Ö.) Programý;8
MET-104-50-50;Fiziksel Kimya;Prof.Dr. Derya TEKÝN;2;3;0;Metalurji ve Malzeme Mühendisliði Programý;2
MET-106-50-50;Ham. Ve Cevher Hazýrlama;Doç.Dr. Gülþen TOZSÝN;2;3;0;Metalurji ve Malzeme Mühendisliði Programý;2
