DerslikAdi;KapasiteKisi;Birim_Adi
D5;108;Mühendislik Fakültesi
D14;90;Mühendislik Fakültesi
D15;90;Mühendislik Fakültesi
D16;180;Mühendislik Fakültesi
D17;90;Mühendislik Fakültesi
D18;90;Mühendislik Fakültesi
D3;99;Mühendislik Fakültesi
D4;108;Mühendislik Fakültesi
D5;108;Mühendislik Fakültesi
D14;90;Mühendislik Fakültesi
D15;90;Mühendislik Fakültesi
D16;180;Mühendislik Fakültesi
D3;99;Mühendislik Fakültesi
D4;108;Mühendislik Fakültesi
D5;108;Mühendislik Fakültesi
D14;90;Mühendislik Fakültesi
D15;90;Mühendislik Fakültesi
D16;180;Mühendislik Fakültesi
D17;90;Mühendislik Fakültesi
D18;90;Mühendislik Fakültesi
MD-201;72;Mühendislik Fakültesi
MD-106;63;Mühendislik Fakültesi
MD-104;120;Mühendislik Fakültesi
MD-207;81;Mühendislik Fakültesi
MD-208;81;Mühendislik Fakültesi
MD-204;72;Mühendislik Fakültesi
MD-206;81;Mühendislik Fakültesi
MD-209;120;Mühendislik Fakültesi
MD-105;60;Mühendislik Fakültesi
D15;90;Mühendislik Fakültesi
MD 206;100;Mühendislik Fakültesi
MD 207;100;Mühendislik Fakültesi
D3;99;Mühendislik Fakültesi
D4;108;Mühendislik Fakültesi
D5;108;Mühendislik Fakültesi
D3;99;Mühendislik Fakültesi
D4;108;Mühendislik Fakültesi
D5;108;Mühendislik Fakültesi
D3;99;Mühendislik Fakültesi
D4;108;Mühendislik Fakültesi
D5;108;Mühendislik Fakültesi
D14;108;Mühendislik Fakültesi
D16;144;Mühendislik Fakültesi
D17;108;Mühendislik Fakültesi
D18;90;Mühendislik Fakültesi
D17;90;Mühendislik Fakültesi
D3;99;Mühendislik Fakültesi
D4;108;Mühendislik Fakültesi
D5;108;Mühendislik Fakültesi
D14;90;Mühendislik Fakültesi
D15;90;Mühendislik Fakültesi
D16;180;Mühendislik Fakültesi
D17;90;Mühendislik Fakültesi
D18;90;Mühendislik Fakültesi
